"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Morphological Analysis for Temporary Behaviour Description of Photoelasticity Images on Plastic Films,Alemania,Lecture Notes in Computer Science,0302-9743,2014,8334,N/A,122 - 132, ,FRANCISCO EUGENIO LOPEZ GIRALDO
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Heart Murmur Detection Using Ensemble Empirical Mode Decomposition and Derivations of the Mel-Frequency Cepstral Coefficients on 4-Area Phonocardiographic Signals,Estados Unidos,Computers in Cardiology,0276-6574,2014,41,N/A,493 - 496, ,"MIGUEL ALBERTO BECERRA BOTERO, EDILSON DELGADO TREJOS"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Evaluating efectiveness of a photo-based scanning software,Colombia,Revista Parque I,2390-0415,2014,01,N/A,64 - 69, ,ROGER ALEXANDER MARTINEZ CIRO
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Analysis and parameters evaluation of a GPON network,Colombia,Revista Colombiana De Tecnologías De Avanzada,1692-7257,2014,1,23,95 - 98, ,ERICK ESTEFEN REYES VERA
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Identification and monitoring of brain activity based on stochastic relevance analysis of short--time EEG rhythms,Inglaterra,BioMedical Engineering Online,1475-925X,2014,13,N/A,1 - 20,10.1186/1475-925X-13-123 ,"LEONARDO DUQUE MUNOZ, CESAR GERMAN CASTELLANOS DOMINGUEZ, JAIRO JOSE ESPINOSA OVIEDO"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Multiobjective optimization-based design of wearable electrocardiogram monitoring systems,Estados Unidos,Conference Proceedings: Annual International Conference Of The Ieee Engineering In Medicine And Biology Society. Ieee Engineering In Medicine And Biology Society. Conference,1557-170X,2014,36,N/A,3029 - 3032,10.1109/EMBC.2014.6944261 ,"FRANCISCO JAVIER MARTINEZ TABARES, JORGE ALBERTO JARAMILLO GARZON"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Combustion System Model of a Wet Process Clinker Kiln,Colombia,Ingenieria y Universidad,0123-2126,2014,18,2,329 - 353, ,"OMAR DARIO HERNANDEZ ARBOLEDA, JOHN ANTONIO QUIROZ, PAULA ANDREA ORTIZ VALENCIA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Estudio Numérico del Desarroll de Flujo a través de Tubos Torsionados y Flexionados en,Colombia,Revista Facultad Nacional de Agronomia,0304-2847,2014,67,2,283 - 285, ,"JHON ALEXANDER ISAZA HURTADO, JUAN GONZALO ARDILA MARIN"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Label-free biosensor based on a dual-core transversally chirped microstructured optical fiber,Estados Unidos,"Proceedings Of Spie, The International Society For Optical Engineering",0277-786X,2014,9157,N/A,91578J-1 - 91578J-4,doi: 10.1117/12.2059611 ,"NELSON DARIO GOMEZ CARDONA, ERICK E REYES VERA, PEDRO IGNACIO TORRES TRUJILLO"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Integrating Spatial Information in Unsupervised Unmixing of Hyperspectral Imagery Using Multiscale Representation,Estados Unidos,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,1939-1404,2014,7,6,1985 - 1993,10.1109/JSTARS.2014.2319261 ,"MARIA CONSTANZA TORRES MADRONERO, MIGUEL VELEZ REYES"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Caracterización de canales de comunicación por tráfico arquitectura de la red: Una revisión,Colombia,Revista Iteckne,1692-1798,2014,11,1,99 - 107, ,"LEONARDO SERNA GUARIN, EDILSON DELGADO TREJOS"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Label-free biosensor based on a dual-core transversally chirped microstructured optical fiber,Estados Unidos,"Proceedings Of Spie, The International Society For Optical Engineering",0277-786X,2014,9157,N/A,91578J-1 - 91578J-4,10.1117/12.2059611 ,"ERICK ESTEFEN REYES VERA, NELSON DARIO GOMEZ CARDONA, PEDRO TORRES TRUJILLO, PEDRO IGNACIO TORRES TRUJILLO"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Subsurface unmixing for benthic habitat mapping using hyperspectral imagery and lidar-derived bathymetry,Estados Unidos,"Proceedings Of Spie, The International Society For Optical Engineering",0277-786X,2014,9088,N/A,90880M - 90880M-15,10.1117/12.2053491 ,"MARIA CONSTANZA TORRES MADRONERO, MIGUEL VELEZ REYES, JAMES GOODMAN"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Low cost heat-and-pull rig for manufacturing adiabatic optical fiber tapers,Colombia,Revista Facultad de Ingenieria,0120-6230,2014,70,N/A,167 - 172, ,"YAMILE CARDONA MAYA, NELSON DARIO GOMEZ CARDONA, PEDRO IGNACIO TORRES TRUJILLO"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Two-core transversally chirped microstructured optical fiber refractive index sensor,Estados Unidos,Optics Letters,0146-9592,2014,39,N/A,1593 - 1596,10.1364/OL.39.001593 ,"ERICK ESTEFEN REYES VERA, PEDRO TORRES TRUJILLO, MIGUEL V ANDRES"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Estimación de Radiación Fotosintéticamente Activa (PAR) usando un espectrómetro de bajo costo,Estados Unidos,IEEE Latin America Transactions,1548-0992,2014,12,2,107 - 111,10.1109/TLA.2014.6749525 ,"JUAN SEBASTIAN BOTERO VALENCIA, SANDRA MILENA NAVARRO GALLON, NESTOR DAVID GIRALDO CALDERON, LUCIA ATEHORTUA GARCES"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Análisis de la estabilidad de un convertidor buck multicelular de dos celdas,Colombia,Mutis,2256-1498,2014,4,2,26 - 34,10.21789/22561498.954 ,"JULIAN PELAEZ RESTREPO, ANDRES FELIPE TOBON MEJIA, JORGE AURELIO HERRERA CUARTAS"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Sistema de navegación para un robot limpiador de piscinas,Colombia,Tecnura,0123-921X,2014,18,39,22 - 33, ,"LORENA CARDONA RENDON, PAULA ANDREA ORTIZ VALENCIA, JUAN SEBASTIAN BOTERO VALENCIA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Image Preprocessing assessment detectin low contrast regions under non-homogeneous light condicionts,Alemania,Lecture Notes in Computer Science,0302-9743,2014,8334,págs:,102 - 112, ,"JEISON MOLINA CORTES, ALEJANDRO RESTREPO MARTINEZ, JOHN WILLIAM BRANCH"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Localization of superficially buried objects by seismic-acoustic techniques,Colombia,IET Signal Processing,1751-9683,2014,N/A,N/A,1 - 4,10.1109/STSIVA.2014.7010175 ,DELIO AUGUSTO ARISTIZABAL MARTINEZ
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Aplicación del modelo de color Kubelka-Munk en esmaltes de cerámica tradicional,Colombia,Revista Politecnica,1900-2351,2014,10,18,135 - 140,10.33571/rpolitec ,"NELSON ALONSO CORREA ROJAS, EDGAR ANDRES CHAVARRIAGA MIRANDA, JUAN FERNANDO MONTOYA CARVAJAL, OSCAR JAIME RESTREPO BAENA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Overall Description of Wind Power Systems,Colombia,Ingeniería Y Ciencia,1794-9165,2014,10,19,99 - 126, ,"LUZ ADRIANA TREJOS GRISALES, CRISTIAN GUARNIZO LEMUS, SERGIO IGNACIO SERNA GARCES"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Cement Rotary Kiln Model Using Fractional Identification,Brasil,IEEE Latin America Transactions,1548-0992,2014,12,2,87 - 92,10.1109/TLA.2014.6749522 ,"OMAR DARIO HERNANDEZ ARBOLEDA, PAULA ANDREA ORTIZ VALENCIA, JORGE AURELIO HERRERA CUARTAS"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Sistema de navegación para un robot limpiador de piscinas,Colombia,Tecnura,0123-921X,2014,18,N/A,22 - 33,10.14483/udistrital.jour.tecnura.2014.1.a02 ,"LORENA CARDONA RENDON, PAULA ANDREA ORTIZ VALENCIA, JUAN SEBASTIAN BOTERO VALENCIA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Optimization of Cost Sensitive Models to Improve Prediction of Molecular Functions,Suecia,Communications in Computer and Information Science,1865-0929,2014,25,N/A,207 - 222,10.1007/978-3-662-44485-6_15 ,JORGE ALBERTO JARAMILLO GARZON
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Análisis de Estabilidad en Tiempo Discreto de un PFC Controlado por Corriente Programada,Colombia,Revista Eia,1794-1237,2013,1,N/A,312 - 323,10.24050/reia.v10i20.527 ,"JULIAN PELAEZ RESTREPO, CARLOS ANDRES TORRES PINZON, FREDDY FLORES BAHAMONDE, SERGIO IGNACIO SERNA GARCES"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,ANÁLISIS DE ESTABILIDAD EN TIEMPO DISCRETO DE UN PFC CONTROLADO POR CORRIENTE PROGRAMADA,Colombia,Revista Eia,1794-1237,2013,10,20,165 - 172, ,"JULIAN PELAEZ RESTREPO, CARLOS ANDRES TORRES PINZON, FREDDY FLORES BAHAMONDE, SERGIO IGNACIO SERNA GARCES"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Identification and control of delayed SISO systems through pattern search methods,Colombia,Journal Of The Franklin Institute-Engineering And Applied Mathematics,0016-0032,2013,350,10,3128 - 3148,10.1016/j.jfranklin.2013.06.022 ,"JORGE AURELIO HERRERA CUARTAS, ASIER IBEAS, SALVA ALCANTARA, MANUEL DE LA SEN, SERGIO IGNACIO SERNA GARCES"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,BADCO: Behavioral Application-Dependent Superscalar Core Models,Estados Unidos,International Journal of Parallel Programming,0885-7458,2013,41,6,1 - 28,10.1007/s10766-013-0278-1 ,"RICARDO ANDRES VELASQUEZ VELEZ, PIERRE MICHAUD, ANDRE SEZNEC"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Caracterización de Bordes y Contrastes en una Imagen Digital ante la Variación de Parámetros de los Filtros Pasa-Altos usados en la estimación de la Visibilidad Atmosférica,Colombia,Tecno Lógicas,0123-7799,2013,31,págs:,123 - 140, ,"MARTHA CELILIA GUZMAN, ALEJANDRO RESTREPO MARTINEZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Identification and control of delayed SISO systems through pattern search methods,Estados Unidos,Journal Of The Franklin Institute-Engineering And Applied Mathematics,0016-0032,2013,350,10,3128 - 3148,http://dx.doi.org/10.1016/j.jfranklin.2013.06.022 ,"JORGE AURELIO HERRERA CUARTAS, ASIER IBEAS HERNANDEZ, SALVA ALCANTARA, MANUEL DE LA SEN, SERGIO SERNA GARCES, SERGIO IGNACIO SERNA GARCES"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Datos sustitutos pseudoperiódicos en señales de voz para determinar dinámicas subyacentes,Colombia,Ingeniería Y Desarrollo,2145-9371,2013,31,2,185 - 201, ,"EDILSON DELGADO TREJOS, JUAN SEBASTIAN HURTADO JARAMILLO, DIEGO LUIS GUARIN LOPEZ, ALVARO OROZCO GUTIERREZ, ALVARO ANGEL OROZCO GUTIERREZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Effects ofthe speckle size on non-holographic fiber specklegram sensors,Reino Unido,Optics and Lasers in Engineering,0143-8166,2013,51,11,1291 - 1295,10.1016/j.optlaseng.2013.05.007 ,"NELSON DARIO GOMEZ CARDONA, JORGE ALBERTO GOMEZ LOPEZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Evaluación de Emisiones Electromagnéticas Producidas por Hornos Microondas,Colombia,Tecno Lógicas,0123-7799,2013,Edición,N/A,493 - 503, ,SARA MARIA YEPES ZULUAGA
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Fiber Specklegram Sensors (FSS) for Measuring High Frequency Mechanical Perturbations,Estados Unidos,"Proceedings Of Spie, The International Society For Optical Engineering",0277-786X,2013,8785,N/A,8785BH-1 - 8785BH-8,10.1117/12.2026075 ,"NELSON DARIO GOMEZ CARDONA, JORGE ALBERTO GOMEZ LOPEZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Regulación de un Sistema Fotovoltaico Basada en un Controlador PID Fuzzy para Asegurar un Tiempo de Establecimiento Constante,Colombia,Tecno Lógicas,0123-7799,2013,N/A,N/A,605 - 616, ,"PAULA ANDREA ORTIZ VALENCIA, LUZ ADRIANA TREJOS GRISALES, CARLOS ANDRES RAMOS PAJA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Preparing arbitrary pure states of spatial qudits with a single phase-only spatial light modulator,Estados Unidos,Optics Letters,0146-9592,2013,38,22,4762 - 4765,10.1364/OL.38.004762 ,AUGUSTO ARIAS GALLEGO
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Static Model of Cement Rotary Kiln,Colombia,Tecno Lógicas,0123-7799,2013,Octubre,2013,179 - 193, ,"OMAR DARIO HERNANDEZ ARBOLEDA, PAULA ANDREA ORTIZ VALENCIA, JORGE AURELIO HERRERA CUARTAS"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Modelo Estático de un horno rotatorio de cemento,Colombia,Tecno Lógicas,0123-7799,2013,N/A,N/A,179 - 193, ,"OMAR DARIO HERNANDEZ ARBOLEDA, PAULA ANDREA ORTIZ VALENCIA, JORGE AURELIO HERRERA CUARTAS"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Identification and control of delayed unstable and integrative LTI MIMO systems using pattern search methods,Inglaterra,Advances in Difference Equations,1687-1847,2013,2013,331,1 - 20,http://dx.doi.org/10.1186/1687-1847-2013-331 ,JORGE AURELIO HERRERA CUARTAS
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Diseño de Controlador Robusto para Horno Rotatorio,Colombia,Tecno Lógicas,0123-7799,2013,N/A,N/A,263 - 276, ,"OMAR DARIO HERNANDEZ ARBOLEDA, PAULA ANDREA ORTIZ VALENCIA, JORGE AURELIO HERRERA CUARTAS"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Navegación Robótica Basada en Patrones Estáticos Utilizando el Sistema Embebido CMUcam3,Colombia,Tecno Lógicas,0123-7799,2013,Edición,N/A,617 - 629, ,"VICTOR M JURADO GUTIERREZ, JUAN S BOTERO VALENCIA, SERGIO IGNACIO SERNA GARCES, CARLOS ANDRES MADRIGAL GONZALEZ, CARLOS ANDRES MADRIGAL"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Compensador de Iluminación Utilizando un Diodo LED como Sensor y Actuador de Luz,Colombia,Tecno Lógicas,0123-7799,2013,Edición,N/A,303 - 313, ,"FRANCISCO EUGENIO LOPEZ GIRALDO, ALEJANDRO RESTREPO, ALEJANDRO RESTREPO MARTINEZ, ROGER ALEXANDER MARTINEZ MARTINEZ CIRO"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Convertidor DC/AC Multinivel de Tres Celdas: Modelado y Simulación,Colombia,Tecno Lógicas,0123-7799,2013,1,1,315 - 324,10.22430/22565337.329 ,"JULIAN PELAEZ RESTREPO, JORGE AURELIO HERRERA CUARTAS, SERGIO IGNACIO SERNA GARCES"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Ecuación Característica del Predictor de Smith Modificado para Sistemas MIMO,Colombia,Tecno Lógicas,0123-7799,2013,Edición,N/A,353 - 365, ,"JORGE AURELIO HERRERA CUARTAS, JUAN S BOTERO VALENCIA, SERGIO IGNACIO SERNA GARCES"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Convertidor DC/AC Multinivel de Tres Celdas: Modelado y Simulación,Colombia,Tecno Lógicas,0123-7799,2013,Edición,N/A,315 - 324, ,"JULIAN PELAEZ RESTREPO, JORGE AURELIO HERRERA CUARTAS, SERGIO IGNACIO SERNA GARCES"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Desarrollo de un Sistema Emulador de Arreglos Fotovoltaicos en Tiempo Real Considerando Variaciones en las Condiciones Climáticas,Colombia,Tecno Lógicas,0123-7799,2013,Edición,N/A,151 - 163, ,"CAMILO E ARDILA FRANCO, JOHN A SOTO GOMEZ, ELIANA ISABEL ARANGO ZULUAGA, CARLOS ANDRES RAMOS PAJA, SERGIO IGNACIO SERNA GARCES"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Plataforma de Modelado y Simulación de Sistemas de Generación Fotovoltaicos,Colombia,Tecno Lógicas,0123-7799,2013,Edición,N/A,137 - 149, ,"ANNY A ARROYAVE BERRIO, MANUEL M GOEZ MORA, ELIANA ISABEL ARANGO ZULUAGA, CARLOS ANDRES RAMOS PAJA, SERGIO IGNACIO SERNA GARCES"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Asymmetrical Interleaved DC/DC Switching Converters for Photovoltaic and Fuel Cell Applications¿Part 2: Control-Oriented Models,Suiza,Energies,1996-1073,2013,6,10,5570 - 5596,10.3390/en6105570 ,"ELIANA ISABEL ARANGO ZULUAGA, CARLOS ANDRES RAMOS PAJA, JAVIER CALVENTE, ROBERTO GIRAL, SERGIO IGNACIO SERNA GARCES"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Compensación de Dispersión Cromática Usando Fibras de Cristal Fotónico con Distribución Hexagonal,Colombia,Tecno Lógicas,0123-7799,2013,Edición,N/A,543 - 553, ,"ERICK E REYES VERA, NELSON DARIO GOMEZ CARDONA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Simulation of laser radiation effects on low dimensionality structures,Alemania,Journal of Molecular Modeling,1610-2940,2013,19,5,2091 - 2095,10.1007/s00894-012-1658-y ,"FRANCISCO EUGENIO LOPEZ GIRALDO, JORGE IVAN USMA, ILIANA RAMIREZ, ILIANA MARIA RAMIREZ VELASQUEZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Ecuación Característica del Predictor de Smith Modificado para Sistemas MIMO,Colombia,Tecno Lógicas,0123-7799,2013,Octubre,2013,353 - 365, ,"JORGE AURELIO HERRERA CUARTAS, JUAN BOTERO VALENCIA, SERGIO SERNA GARCES, SERGIO IGNACIO SERNA GARCES"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Análisis del Predictor de Smith Modificado,Colombia,Tecno Lógicas,0123-7799,2013,Octubre,2013,339 - 352, ,"JORGE AURELIO HERRERA CUARTAS, JULIAN PELAEZ RESTREPO, NELSON ALONSO CORREA ROJAS"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Convertidor DC/AC Multinivel de Tres Celdas: Modelado y Simulación,Colombia,Tecno Lógicas,0123-7799,2013,Octubre,2013,315 - 324, ,"JULIAN PELAEZ RESTREPO, JORGE AURELIO HERRERA CUARTAS, SERGIO SERNA GARCES, SERGIO IGNACIO SERNA GARCES"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Sistema De Shearografía para el Análisis Dinámico de Materiales bajo Estrés Térmico,Colombia,Tecno Lógicas,0123-7799,2013,Octubre,2013,719 - 730, ,"NELSON ALONSO CORREA ROJAS, JESUS CAUSADO BUELVAS, JORGE AURELIO HERRERA CUARTAS"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Diseño de Controlador Robusto para Horno Rotatorio,Colombia,Tecno Lógicas,0123-7799,2013,Octubre,2013,263 - 276, ,"OMAR DARIO HERNANDEZ ARBOLEDA, PAULA ANDREA ORTIZ VALENCIA, JORGE AURELIO HERRERA CUARTAS"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Navegación Robótica Basada en Patrones Estáticos Utilizando el Sistema Embebido CMUcam3,Colombia,Tecno Lógicas,0123-7799,2013,N/A,N/A,617 - 629,10.22430/22565337.363 ,"VICTOR MANUEL JURADO GUTIERREZ, JUAN SEBASTIAN BOTERO VALENCIA, SERGIO IGNACIO SERNA GARCES, CARLOS ANDRES MADRIGAL GONZALEZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Ecuación Característica del Predictor de Smith Modificado para Sistemas MIMO,Colombia,Tecno Lógicas,0123-7799,2013,N/A,N/A,353 - 365,10.22430/22565337.339 ,"JORGE AURELIO HERRERA CUARTAS, JUAN SEBASTIAN BOTERO VALENCIA, SERGIO IGNACIO SERNA GARCES"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Método de Calibración para Medir el Índice de Reproducción Cromática (CRI) usando Sensores RGB,Colombia,Tecno Lógicas,0123-7799,2013,N/A,N/A,325 - 338,10.22430/22565337.351 ,"JUAN SEBASTIAN BOTERO VALENCIA, FRANCISCO EUGENIO LOPEZ GIRALDO, JESUS FRANCISCO VARGAS BONILLA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Compensación de dispersión cromática usando fibras de cristal fotónico con distribución hexagonal,Colombia,Tecno Lógicas,0123-7799,2013,Edición,N/A,543 - 553, ,"ERICK ESTEFEN REYES VERA, NELSON DARIO GOMEZ CARDONA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Método de Calibración para Medir el Índice de Reproducción Cromática (CRI) usando Sensores RGB,Colombia,Tecno Lógicas,0123-7799,2013,Edición,N/A,325 - 338, ,"FRANCISCO EUGENIO LOPEZ GIRALDO, JESUS F VARGAS BONILLA, JUAN SEBASTIAN BOTERO VALENCIA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Análisis del Predictor de Smith Modificado,Colombia,Tecno Lógicas,0123-7799,2013,1,31,339 - 352,10.22430/22565337.322 ,"JULIAN PELAEZ RESTREPO, JORGE AURELIO HERRERA CUARTAS, NELSON A CORREA ROJAS"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Confrontación Técnica de dos Prototipos de Secado Dieléctrico de Madera usando Radiofrecuencia,Colombia,Tecno Lógicas,0123-7799,2013,Edición,N/A,505 - 516, ,"SARA MARIA YEPES ZULUAGA, WILLER FERNEY MONTES GRANADA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Sistema De Shearografía para el Análisis Dinámico de Materiales bajo Estrés Térmico,Colombia,Tecno Lógicas,0123-7799,2013,16,N/A,719 - 730, ,"NELSON ALONSO CORREA ROJAS, JESUS DAVIDAD CAUSADO, JORGE AURELIO HERRERA CUARTAS"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Análisis del Predictor de Smith Modificado,Colombia,Tecno Lógicas,0123-7799,2013,16,N/A,339 - 352, ,"NELSON ALONSO CORREA ROJAS, JORGE AURELIO HERRERA CUARTAS, JULIAN PELAEZ RESTREPO"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Clasificación de Mariposas por Modelos de Color HSI y RGB Usando Redes Neuronales,Colombia,Tecno Lógicas,0123-7799,2013,N/A,N/A,669 - 679, ,"JORGE EDUARDO GRAJALES MUNERA, ALEJANDRO RESTREPO MARTINEZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Evolución de la Intensidad de Pixeles para Describir la Deformación de Películas Plásticas,Colombia,Tecno Lógicas,0123-7799,2013,N/A,N/A,675 - 707, ,"JUAN CARLOS BRINEZ, ALEJANDRO RESTREPO MARTINEZ, FRANCISCO EUGENIO LOPEZ GIRALDO, FRANCISCO EUGENIO LOPEZ GIRALDO"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Compensador de Iluminación Utilizando un Diodo LED como Sensor y Actuador de Luz,Colombia,Tecno Lógicas,0123-7799,2013,N/A,N/A,303 - 313, ,"ROGER A MARTINEZ CIRO, ALEJANDRO RESTREPO MARTINEZ, FRANCISCO EUGENIO LOPEZ GIRALDO"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Sliding-Mode Control of a Dc/Dc Postfilter for Ripple Reduction and Efficiency Improvement in POL Applications,Estados Unidos,Journal of Applied Mathematics,1110-757X,2013,2013,N/A,1 - 10,10.1155/2013/915146 ,"SERGIO IGNACIO SERNA GARCES, RICARDO E JIMENEZ, RAUL ESTEBAN JIMENEZ MEJIA, CARLOS ANDRES RAMOS PAJA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Adaptive Neuro-Fuzzy Inference System for Acoustic Analysis of 4-Channel Phonocardiograms Using Empirical Mode Decomposition,Japón,Conference Proceedings: Annual International Conference Of The Ieee Engineering In Medicine And Biology Society. Ieee Engineering In Medicine And Biology Society. Conference,1557-170X,2013,35,N/A,969 - 972,10.1109/EMBC.2013.6609664,"MIGUEL ALBERTO BECERRA BOTERO, DIANA ALEXANDRA ORREGO METAUTE, EDILSON DELGADO TREJOS"
