MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Electrophysiological and Mechanical Approaches to the Swallowing Analysis,Alemania,Communications in Computer and Information Science,1865-0929,2020,1274,N/A,281 - 290,10.1007/978-3-030-61834-6_24 ,"ANDRES FELIPE OROZCO DUQUE, JUAN PABLO RESTREPO URIBE, JUAN RAFAEL OROZCO ARROYAVE, SEBASTIAN ROLDAN VASCO, ESTEFANIA PEREZ GIRALDO"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Burning Velocity of Turbulent Methane/Air Premixed Flames in Subatmospheric Environment,Estados Unidos,ACS Omega,2470-1343,2020,5,39,25095 - 25103,10.1021/acsomega.0c02670 ,"JORGE ANDRES SIERRA DEL RIO, CARLOS ERNESTO ARRIETA GONZALEZ, ALEX MAURICIO GARCIA VERGARA, ANDRES ADOLFO AMELL ARRIETA, ARLEY JOHANY CARDONA VARGAS"
MATERIALES AVANZADOS Y ENERGÍA,Revisión (Survey),Characterization of Electrospun Silk Fibroin Scaffolds for Bone Tissue Engineering: A Review,,Tecnológicas,2256-5337,2020,23,49,33 - 51,10.22430/22565337.1573 ,"MONICA LILIANA MEJIA SUAZA, MARIA ELENA MONCADA ACEVEDO, CLAUDIA PATRICIA OSSA OROZCO"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Beta,,"gamma and High-Frequency Oscillation characterization for targeting in Deep Brain Stimulation procedures  Colombia, Tecnológicas",2256-5337,2020,23,N/A,11 - 32,10.22430/22565337.1564 ,"SARAH ELENA VALDERRAMA HINCAPIE, SEBASTIAN ROLDAN VASCO, SEBASTIAN RESTREPO AGUDELO, FRANK SANCHEZ RESTREPO, ADRIANA LUCIA LOPEZ RIOS, ALHER MAURICIO HERNANDEZ VALDIVIESO"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Physicochemical Characterization of Airborne Particulate Matter in Medellín,,"Colombia, and its Use in an In Silico Study of Ventricular Action Potential  Países Bajos, Water, Air, and Soil Pollution",1573-2932,2020,231,508,1 - 9,10.1007/s11270-020-04884-5 ,ROBISON BUITRAGO SIERRA
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Control for a thermoformer using Matlab ident and control toolbox,India,International Journal of Mechanical and Production Engineering Research and Development,2249-6890,2020,10,N/A,15277 - 15286,10.24247/ijmperdjun20201457 ,"JUAN JOSE ARBELAEZ TORO, OSCAR FERNANDO AVILES SANCHEZ, MAURICIO FELIPE MAULEDOUX MONROY"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Influence of Turbulence,,"Density, Phase Change, and Phase Interfaces Models on the Performance of the Numerical Simulation of a Two-Phase Closed Thermosyphon  Colombia, Tecnológicas",2256-5337,2020,23,49,53 - 70,10.22430/22565337.1563 ,"DAVID GAMBOA COLORADO, BERNARDO ARGEMIRO HERRERA MUNERA"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Relation Between Mechanical Properties and 3D Printer Configurations Parameters Using PLA at Open-Source Prusa I3,Malasia,International Journal of Integrated Engineering,2229-838X,2020,12,8,97 - 108,10.30880/ijie.2020.12.08.009 ,"JORGE ANDRES SIERRA DEL RIO, DANIEL SANIN VILLA, ANDRES FELIPE MONTOYA VELASQUEZ, WALTER VILLANEDA"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Cerium oxide nanoparticles for color removal of indigo carmine and methylene blue solutions,Países Bajos,AIMS Materials Science,2372-0484,2020,7,4,468 - 485,10.3934/matersci.2020.4.468 ,JUAN FELIPE SANTA MARIN
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Insights into the CO2 capture over amine-functionalized mesoporous silica adsorbents derived from rice husk ash,Reino Unido,Journal of Environmental Chemical Engineering,2213-3437,2020,8,5,1 - 10,10.1016/j.jece.2020.104362 ,ROBISON BUITRAGO SIERRA
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Venting stage experimental study of food sterilization process in a vertical retort using temperature distribution tests and energy balances,,Case Studies in Thermal Engineering,2214-157X,2020,21,págs:,1 - 13,10.1016/j.csite.2020.100736 ,"ALEXANDER GIRALDO GIL, OSCAR ALBERTO OCHOA GONZALEZ, LUIS FERNANDO CARDONA SEPULVEDA, PEDRO NEL ALVARADO TORRES"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Polypropylene modified with Cu¿N-doped titanium dioxide forantibacterial applications,Reino Unido,Advances in Natural Sciences: Nanoscience and Nanotechnology,2043-6262,2020,11,3,1 - 12,10.1088/2043-6254/aba894 ,JUAN FELIPE SANTA MARIN
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Simulación de moldeo por inyección basado en el método de volúmenes finitos (FVM),Colombia,Inge Cuc,0122-6517,2020,16,N/A,1 - 12,10.17981/ingecuc.16.2.2020.08 ,"ADRIAN JOSE BENITEZ LOZANO, CARLOS ANDRES VARGAS ISAZA"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Biorefinery Concept Applied to Phytochemical Extraction and Bio-Syngas Production using Agro-Industrial Waste Biomass: A Review,,Ingenieria e Investigacion,2248-8723,2020,40,2,1 - 15,10.15446/ing.investig.v40n2.82539 ,"CARLOS ESTEBAN ARISTIZABAL ALZATE, ANDRES FELIPE VARGAS RAMIREZ, PEDRO NEL ALVARADO TORRES"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Wear resistance and hardness of nanostructured hardfacing coatings,Colombia,Revista Dyna,2346-2183,2020,87,214,146 - 154,10.15446/dyna.v87n214.85683 ,JUAN FELIPE SANTA MARIN
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Numerical simulation of the flow and heat transfer in an electric steel tempering furnace,,Energies,1996-1073,2020,13,14,1 - 22,10.3390/en13143655 ,"LUIS FERNANDO CARDONA SEPULVEDA, IVAN DARIO PALACIOS, PEDRO NEL ALVARADO TORRES"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Synthesis of ZrO2 nanoparticles and effect of surfactant on dispersion and stability,Reino Unido,Ceramics International,0272-8842,2020,46,N/A,11970 - 11977,10.1016/j.ceramint.2020.01.236 ,"FREDY ORDONEZ RAMOS, FARID CHEJNE JANNA, ELIZABETH PABON GELVES, KAREN PAOLA CACUA MADERO"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Thermogravimetric Evaluation of Torrefaction Parameters on Thermal Properties of a Colombian Woody Biomass,,Chemical Engineering Transactions,2283-9216,2020,80,págs:,133 - 138,10.3303/CET2080023 ,"PEDRO NEL ALVARADO TORRES, FREDY ESTEBAN JARAMILLO RAMIREZ"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,A laboratory demonstration of rail grinding and analysis of running roughness and wear,Países Bajos,WEAR,1873-2577,2020,456,págs:,1 - 12,10.1016/j.wear.2020.203379 ,JUAN FELIPE SANTA MARIN
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,An energy management system for optimal operation of BSS in DC distributed generation environments based on a parallel PSO algorithm,Países Bajos,Journal of Energy Storage,2352-152X,2020,19,1,1 - 12,10.1016/j.est.2020.101488 ,"LUIS FERNANDO GRISALES NORENA, OSCAR DANILO MONTOYA GIRALDO, CARLOS ANDRES RAMOS PAJA"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,An exact MINLP model for optimal location and sizing of DGs in distribution networks: A general algebraic modeling system approach,Egipto,Ain Shams Engineering Journal,2090-4479,2020,1,1,1 - 10,10.1016/j.asej.2019.08.011 ,LUIS FERNANDO GRISALES NORENA
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Biomass-Derived Carbon Molecular Sieves Applied to an Enhanced Carbon Capture and Storage Process (e-CCS) for Flue Gas Streams in Shallow Reservoirs,,Nanomaterials,2079-4991,2020,10,5,1 - 19,10.3390/nano10050980 ,"ELIZABETH CRISTINA RODRIGUEZ ACEVEDO, FRANCISCO CARRASCO MARIN, CAMILO ANDRES FRANCO ARIZA, FARID BERNARDO CORTES CORREA"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Reliable preparation of ZnO nanoparticles by different synthesis methods for bactericidal applications,Reino Unido,Advances in Natural Sciences: Nanoscience and Nanotechnology,2043-6262,2020,11,2,025015 - 025025,10.1088/2043-6254/ab92f8 ,ROBISON BUITRAGO SIERRA
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Scalogram-energy based segmentation of surface electromyography signals from swallowing related muscles,Irlanda,Computer Methods and Programs in Biomedicine,0169-2607,2020,194,N/A,1 - 10,10.1016/j.cmpb.2020.105480 ,"SEBASTIAN ROLDAN VASCO, ESTEFANIA PEREZ GIRALDO, ANDRES FELIPE OROZCO DUQUE"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Influence of filling ratio on the thermal performance and efficiency of a thermosyphon operating with AlO-water based nanofluids,Países Bajos,Nano-Structures and Nano-Objects,2352-507X,2020,22,N/A,100448 - 100458,10.1016/j.nanoso.2020.100448 ,ROBISON BUITRAGO SIERRA
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,On how unsymmetrical laminate designs with tailored ply clusters affect compression after impact strength compared to symmetric baseline,Países Bajos,Composite Structures,0263-8223,2020,238,N/A,- ,10.1016/j.compstruct.2020.111958 ,JUAN JOSE ARBELAEZ TORO
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Development of a composite friction modifier with carbon nanotubes for applications at the wheel¿rail interface,Países Bajos,Advanced Composites Letters,0963-6935,2020,29,págs:,1 - 8,10.1177/2633366X20930019 ,JUAN FELIPE SANTA MARIN
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Dispersion and thermal conductivity of TiO2/water nanofluid,Países Bajos,Journal of Thermal Analysis and Calorimetry,1588-2926,2020,1,N/A,109 - 114,10.1007/s10973-019-08817-1 ,"KAREN PAOLA CACUA MADERO, ELIZABETH PABON GELVES, ROBISON BUITRAGO SIERRA"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Influence of filling ratio on the thermal performance and efficiency of a thermosyphon operating with AlO-water based nanofluids,Países Bajos,Nano-Structures and Nano-Objects,2352-507X,2020,22,N/A,1 - 10,10.1016/j.nanoso.2020.100448 ,"ANDERSON GALLEGO MONTOYA, BERNARDO ARGEMIRO HERRERA MUNERA, ROBISON BUITRAGO SIERRA, JUAN CAMILO ZAPATA HERNANDEZ, KAREN PAOLA CACUA MADERO"
